"","Phylum","Class","Order","Family","Genus","Species","scientificName","RI","BU","TO","HS","IA","Somme","Spring","Summer","Fall","Winter","Somme.1","Common.Name","Trophic.Level","Max.Size..cm..Total.or.standard.length...fish.only","Vulnerability.Category","X1.1.S1..Vulnerable.Species","X1.2.S1..Upper.level.Predators","X1.2.S2..Forage.Species","X1.2.S3..Nutrient.Transporting.Species","X1.2.S4..Habitat.forming.Species","X1.5.S1.Any.CC","Global.CC","National.CC","Regional.CC","Recommended.CP"
"75","Chordata","Actinopteri","Scorpaeniformes","Stichaeidae","Lumpenella","longirostris","Lumpenella longirostris",1,1,0,0,0,2,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Chordata","Actinopteri","Scorpaeniformes","Stichaeidae","Lumpenus","sagitta","Lumpenus sagitta",1,1,1,1,1,5,1,0,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Chordata","Actinopteri","Scorpaeniformes","Zoarcidae","Lycodapus","mandibularis","Lycodapus mandibularis",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Chordata","Actinopteri","Scorpaeniformes","Zoarcidae","Lycodapus","parviceps","Lycodapus parviceps",1,1,1,0,1,4,1,0,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Chordata","Actinopteri","Scorpaeniformes","Zoarcidae","Lycodes","reticulatus","Lycodes reticulatus",1,0,1,1,1,4,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodopsis","pacificus","Lycodopsis pacificus",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Lyopsetta","exilis","Lyopsetta exilis",1,1,1,1,1,5,1,1,1,1,4,"Slender Sole","3.5","35","M-H","1",0,"-","*","-","0","0","*","*","-"
"82","Chordata","Actinopteri","Osmeriformes","Osmeridae","Mallotus","villosus","Mallotus villosus",1,1,1,1,1,5,1,0,1,1,3,"Capelin","3.2","25.2","L","0",0,"2","*","-","0","0","*","*","X"
"83","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Megaptera","novaeangliae","Megaptera novaeangliae",1,1,0,1,0,3,1,0,0,1,2,"Humpback Whale","3.9","-","H","2",1,"-","1","-","2","0","2","1","X"
"84","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","productus","Merluccius productus",1,1,1,1,1,5,1,1,1,1,4,"Pacific Hake","4.4","91","H","2",2,"1","1","-","0","0","*","*","X"
"85","Chordata","Actinopteri","Gadiformes","Gadidae","Microgadus","proximus","Microgadus proximus",1,1,0,1,1,4,1,0,0,1,2,"Pacific Tomcod","3.6","30.5","L-M","0",0,"1*","*","-","0","0","*","*","-"
"86","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Microstomus","pacificus","Microstomus pacificus",0,0,1,1,0,2,1,1,0,1,3,"Dover Sole","3.2","76","H-VH","2",1,"-","*","-","*","*","*","*","X"
"87","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Myoxocephalus","octodecemspinosus","Myoxocephalus octodecemspinosus",1,0,1,0,0,2,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Myoxocephalus","polyacanthocephalus","Myoxocephalus polyacanthocephalus",1,1,1,1,0,4,1,0,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Chordata","Actinopteri","Scorpaeniformes","Agonidae","Nautichthys","oculofasciatus","Nautichthys oculofasciatus",1,1,1,1,1,5,1,0,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Chordata","Actinopteri","Scorpaeniformes","Liparidae","Nectoliparis","pelagicus","Nectoliparis pelagicus",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Oligocottus","maculosus","Oligocottus maculosus",1,1,1,0,1,4,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","gorbuscha","Oncorhynchus gorbuscha",1,1,1,1,1,5,1,1,1,1,4,"Pink Salmon","4.5","76","M","1",1,"1*","2","-","0","*","0","0","X"
"93","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","keta","Oncorhynchus keta",1,1,1,1,1,5,1,1,1,1,4,"Chum Salmon","3.7","100","M-H","1",1,"1","2","-","0","*","0","0","X"
"94","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","kisutch","Oncorhynchus kisutch",1,1,1,1,1,5,0,0,1,1,2,"Coho Salmon","4.2","108","M-H","1",2,"1","2","-","0","*","0","0","X"
"95","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka","Oncorhynchus nerka",1,1,1,1,1,5,1,1,1,1,4,"Sockeye Salmon","3.6","84","L-M","0",1,"1","2","-","0","0","0","0","X"
"96","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","tshawytscha","Oncorhynchus tshawytscha",1,1,1,1,1,5,1,1,0,1,3,"Chinook Salmon","4.4","150","H-VH","2",2,"1","2","-","0","*","0","0","X"
"97","Chordata","Actinopteri","Scorpaeniformes","Hexagrammidae","Ophiodon","elongatus","Ophiodon elongatus",1,1,1,1,1,5,1,1,1,1,4,"Lingcod","4.3","152","H","2",2,"-","*","-","*","*","*","*","X"
"98","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","mordax","Osmerus mordax",1,1,1,1,1,5,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Chordata","Actinopteri","Scorpaeniformes","Hexagrammidae","Oxylebius","pictus","Oxylebius pictus",0,1,0,1,0,2,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Chordata","Actinopteri","Scorpaeniformes","Liparidae","Paraliparis","grandis","Paraliparis grandis",1,1,0,0,0,2,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
