,CommonName,FullName,scientificName,Genus,Final_score,Upper_Level_pred_score,Vuln_fishery_score,Vuln_climate_score,Nutrient_Transporting_Species,Forage_Species,Any_CC,Vulnerability_climate_category,Troph,Max_length,Upper_level_Predators_gale,Vulnerability_fisheries,Vulnerability_fisheries_category,Vulnerability_climate,Global_CC,National_CC,Regional_CC,Recommended_CP,check_gale,check_fishbase
45,Bluntnose sixgill shark,Bluntnose sixgill shark (Hexanchus griseus),Hexanchus griseus,Hexanchus,2,2,2,1,0,-,1,Moderate,4.48,600,2,90,Very high,37.5,1,1,*,X,NA,NA
53,Pacific white-sided dolphin,Pacific white-sided dolphin (Lagenorhynchus obliquidens),Lagenorhynchus obliquidens,Lagenorhynchus,2,2,,,1,-,0,NA,NA,250,2,NA,NA,NA,0,0,0,X,NA,Yes
58,Daubed shanny,Daubed shanny (Leptoclinus maculatus),Leptoclinus maculatus,Leptoclinus,2,0,2,,NA,NA,0,,3.28,20,NA,58.66,High,NA,NA,NA,NA,NA,Yes,NA
60,Northern smoothtongue,Northern smoothtongue (Leuroglossus schmidti),Leuroglossus schmidti,Leuroglossus,2,0,,,*,2,0,,3.38,20,0,14.4,Low,NA,*,*,*,X,NA,NA
73,Capelin,Capelin (Mallotus villosus),Mallotus villosus,Mallotus,2,0,,,*,2,0,Low,3.15,25.2,0,27.37,Low to moderate,23.85,0,*,*,X,NA,NA
74,Humpback whale,Humpback whale (Megaptera novaeangliae),Megaptera novaeangliae,Megaptera,2,2,2,,1,-,2,,NA,1889.76,1,55.67,High,NA,0,2,1,X,NA,NA
75,Pacific Hake,Pacific Hake (Merluccius productus),Merluccius productus,Merluccius,2,2,1,1,1,1,0,Moderate to high,4.37,105,2,42.87,Moderate,52.98,0,*,*,X,NA,NA
77,Dover sole,Dover sole (Microstomus pacificus),Microstomus pacificus,Microstomus,2,1,2,1,*,-,0,Moderate,3.22,76,1,71.29,High to very high,42.86,*,*,*,X,NA,NA
78,Great sculpin,Great sculpin (Myoxocephalus polyacanthocephalus),Myoxocephalus polyacanthocephalus,Myoxocephalus,2,1,2,,NA,NA,0,,3.76,80,NA,68.23,High to very high,NA,NA,NA,NA,NA,Yes,NA
83,Pink salmon,Pink salmon (Oncorhynchus gorbuscha),Oncorhynchus gorbuscha,Oncorhynchus,2,1,1,1,2,1*,0,Moderate to high,4.49,76,1,50.4,Moderate to high,45.83,*,0,0,X,NA,NA
84,Chum salmon,Chum salmon (Oncorhynchus keta),Oncorhynchus keta,Oncorhynchus,2,1,1,2,2,1,0,High to very high,3.74,100,1,48.82,Moderate to high,71.18,*,0,0,X,NA,NA
85,Coho salmon,Coho salmon (Oncorhynchus kisutch),Oncorhynchus kisutch,Oncorhynchus,2,2,1,2,2,1,0,High to very high,4.18,107.95,2,51.66,Moderate to high,72.27,*,0,0,X,NA,NA
86,Rainbow trout,Rainbow trout (Oncorhynchus mykiss),Oncorhynchus mykiss,Oncorhynchus,2,2,1,,1,1*,0,NA,4.1,122,2,43,Moderate,NA,*,0,0,X,NA,Yes
87,Sockeye salmon,Sockeye salmon (Oncorhynchus nerka),Oncorhynchus nerka,Oncorhynchus,2,1,,2,2,1,0,High to very high,3.54,84,1,31.14,Low to moderate,72.27,0,0,0,X,NA,NA
88,Chinook salmon,Chinook salmon (Oncorhynchus tshawytscha),Oncorhynchus tshawytscha,Oncorhynchus,2,2,2,1,2,1,0,Moderate to high,4.4,150,2,90,Very high,51.68,*,0,0,X,NA,NA
89,Lingcod,Lingcod (Ophiodon elongatus),Ophiodon elongatus,Ophiodon,2,2,2,1,*,-,0,Moderate to high,4.53,152,2,56.2,High,47.6,*,*,*,X,NA,NA
97,Harbor seal,Harbor seal (Phoca vitulina),Phoca vitulina,Phoca,2,2,2,,0,-,0,,4.5,190,2,59.56,High,NA,0,0,0,X,NA,NA
98,Harbour porpoise,Harbour porpoise (Phocoena phocoena),Phocoena phocoena,Phocoena,2,2,1,,0,-,1,,4.5,200,2,44,Moderate,NA,0,1,1,X,NA,NA
103,Starry flounder,Starry flounder (Platichthys stellatus),Platichthys stellatus,Platichthys,2,1,1,2,*,-,0,High,3.58,91,1,50.55,Moderate to high,61.4,0,*,*,-,NA,NA
104,Alaska plaice,Alaska plaice (Pleuronectes quadrituberculatus),Pleuronectes quadrituberculatus,Pleuronectes,2,1,2,2,NA,NA,0,High,3.59,87,NA,67.55,High to very high,61.63,NA,NA,NA,NA,Yes,NA
114,Atlantic salmon,Atlantic salmon (Salmo salar),Salmo salar,Salmo,2,2,1,1,1,NA,0,Moderate to high,4.5,150,NA,45.37,Moderate to high,50.05,NA,NA,NA,NA,Yes,NA
115,Bull trout,Bull trout (Salvelinus confluentus),Salvelinus confluentus,Salvelinus,2,1,2,,NA,NA,1,,3.72,103,NA,61.8,High,NA,NA,NA,1,NA,Yes,NA
116,Dolly Varden,Dolly Varden (Salvelinus malma),Salvelinus malma,Salvelinus,2,2,2,,2,NA,0,,4.4,127,NA,69.97,High to very high,NA,NA,NA,NA,NA,Yes,NA
119,Broadbanded thornyhead,Broadbanded thornyhead (Sebastolobus macrochir),Sebastolobus macrochir,Sebastolobus,2,0,2,,NA,NA,0,,3.2,44,NA,69.44,High to very high,NA,NA,NA,NA,NA,Yes,NA
120,Pacific spiny dogfish,Pacific spiny dogfish (Squalus suckleyi),Squalus suckleyi,Squalus,2,1,2,,1,-,1,,3.82,140,2,84,Very high,NA,0,1,*,X,NA,NA
121,Northern lampfish,Northern lampfish (Stenobrachius leucopsarus),Stenobrachius leucopsarus,Stenobrachius,2,0,,,*,2,0,,3.17,13,0,32.63,Low to moderate,NA,*,*,*,X,NA,NA
125,Eulachon,Eulachon (Thaleichthys pacificus),Thaleichthys pacificus,Thaleichthys,2,0,,1,2,2,2,Moderate,3.25,34,0,32.71,Low to moderate,35.39,0,2,2,X,NA,NA
3,American shad,American shad (Alosa sapidissima),Alosa sapidissima,Alosa,1,1,1,1,NA,NA,0,Moderate,3.48,76,NA,50.28,Moderate to high,43.55,NA,NA,NA,NA,Yes,NA
9,Penpoint gunnel,Penpoint gunnel (Apodichthys flavidus),Apodichthys flavidus,Apodichthys,1,0,1,,NA,NA,0,,3.55,46,NA,36,Moderate,NA,NA,NA,NA,NA,Yes,NA
19,Red brotula,Red brotula (Brosmophycis marginata),Brosmophycis marginata,Brosmophycis,1,0,1,,NA,NA,0,,3.61,46,NA,36,Moderate,NA,NA,NA,NA,NA,Yes,NA
21,Longnose sucker,Catostomus catostomus (Longnose sucker),Catostomus catostomus,Catostomus,1,0,1,,NA,NA,0,,2.54,64,NA,45.6,Moderate to high,NA,NA,NA,NA,NA,Yes,NA
25,Mosshead sculpin,Mosshead sculpin (Clinocottus globiceps),Clinocottus globiceps,Clinocottus,1,0,1,,NA,NA,0,,3.06,19,NA,35.25,Moderate,NA,NA,NA,NA,NA,Yes,NA
31,Spinyhead sculptin,Spinyhead sculpin (Dasycottus setiger),Dasycottus setiger,Dasycottus,1,1,1,,NA,NA,0,,3.87,73,NA,49.2,Moderate to high,NA,NA,NA,NA,NA,Yes,NA
38,Pacific cod,Pacific cod (Gadus macrocephalus),Gadus macrocephalus,Gadus,1,1,1,1,0,0,0,Moderate to high,3.78,119,2,50.18,Moderate to high,45.16,*,*,*,X,NA,NA
41,Red Irish lord,Red Irish lord (Hemilepidotus hemilepidotus),Hemilepidotus hemilepidotus,Hemilepidotus,1,0,1,,NA,NA,0,,3.53,51,NA,40.4,Moderate,NA,NA,NA,NA,NA,Yes,NA
43,Kelp greenling,Kelp greenling (Hexagrammos decagrammus),Hexagrammos decagrammus,Hexagrammos,1,1,1,,0,-,0,,3.59,61,0,44.4,Moderate,NA,*,*,*,-,NA,NA
44,Rock greenling,Rock greenling (Hexagrammos lagocephalus),Hexagrammos lagocephalus,Hexagrammos,1,1,1,,NA,NA,0,,3.67,61,NA,44.4,Moderate,NA,NA,NA,NA,NA,Yes,NA
46,Spotted ratfish,Spotted ratfish (Hydrolagus colliei),Hydrolagus colliei,Hydrolagus,1,1,1,1,NA,NA,0,Moderate to high,3.68,100,NA,49.66,Moderate to high,47.3,NA,NA,NA,NA,Yes,NA
54,Bay goby,Bay goby (Lepidogobius lepidus),Lepidogobius lepidus,Lepidogobius,1,0,1,,NA,NA,0,,3.41,10,NA,50.96,Moderate to high,NA,NA,NA,NA,NA,Yes,NA
55,Rock sole,Rock sole (Lepidopsetta bilineata),Lepidopsetta bilineata,Lepidopsetta,1,1,1,,0,-,0,Low to moderate,3.18,60,1,44,Moderate,32.94,*,*,*,X,NA,NA
56,Northern Rock Sole,Northern Rock Sole (Lepidopsetta polyxystra),Lepidopsetta polyxystra,Lepidopsetta,1,1,1,,NA,NA,0,,3.3,69,NA,47.6,Moderate to high,NA,NA,NA,NA,NA,Yes,NA
57,Pumpkinseed,Pumpkinseed (Lepomis gibbosus),Lepomis gibbosus,Lepomis,1,0,1,,NA,NA,0,,3.25,40,NA,49.37,Moderate to high,NA,NA,NA,NA,NA,Yes,NA
59,Pacific staghorn sculpin,Pacific staghorn sculpin (Leptocottus armatus),Leptocottus armatus,Leptocottus,1,0,1,,NA,NA,0,,3.68,46,NA,36,Moderate,NA,NA,NA,NA,NA,Yes,NA
67,Snake prickleback,Snake prickleback (Lumpenus sagitta),Lumpenus sagitta,Lumpenus,1,0,1,,NA,NA,0,,3.29,51,NA,40.4,Moderate,NA,NA,NA,NA,NA,Yes,NA
71,Blackbelly prickleback,Blackbelly prickleback (Lycodopsis pacificus),Lycodes pacificus,Lycodes,1,0,1,,NA,NA,0,NA,3.3,46,NA,47,Moderate to high,NA,NA,NA,NA,NA,Yes,Yes
76,Pacific tomcod,Pacific tomcod (Microgadus proximus),Microgadus proximus,Microgadus,1,0,,1,*,1*,0,Moderate to high,3.58,30.5,0,27.21,Low to moderate,50.76,0,*,*,-,NA,NA
81,Tidepool sculpin,Tidepool sculpin (Oligocottus maculosus),Oligocottus maculosus,Oligocottus,1,0,1,,NA,NA,0,,3.38,8.9,NA,37.33,Moderate,NA,NA,NA,NA,NA,Yes,NA
82,Cutthroat trout,Cutthroat trout (Oncorhynchus clarkii),Oncorhynchus clarkii,Oncorhynchus,1,1,1,,1,1*,0,NA,3.8,99,2,48,Moderate to high,NA,*,0,0,X,NA,Yes
90,Rainbow smelt,Rainbow smelt (Osmerus mordax),Osmerus mordax,Osmerus,1,0,1,,NA,NA,0,Low to moderate,3.45,35.6,NA,38.09,Moderate,31.86,NA,NA,NA,NA,Yes,NA
92,Pink snailfish,Pink snailfish (Paraliparis rosaceus),Paraliparis rosaceus,Paraliparis,1,0,1,,NA,NA,0,,3.73,40,NA,38.8,Moderate,NA,NA,NA,NA,NA,Yes,NA
93,English sole,English sole (Parophrys vetulus),Parophrys vetulus,Parophrys,1,1,1,,*,-,0,Low to moderate,3.39,57,1,43.49,Moderate,26.67,*,*,*,-,NA,NA
96,Pile perch,Pile perch (Phanerodon vacca),Phanerodon vacca,Phanerodon,1,0,1,,NA,NA,0,,3.38,44.2,NA,41.57,Moderate,NA,NA,NA,NA,NA,Yes,NA
117,Pacific sardine,Pacific sardine (Sardinops sagax),Sardinops sagax,Sardinops,1,0,,,1,1*,1,Low,2.84,39.5,0,33.17,Low to moderate,15.63,*,1,*,X,NA,NA
118,Cabezon,Cabezon (Scorpaenichthys marmoratus),Scorpaenichthys marmoratus,Scorpaenichthys,1,1,1,1,0,-,0,Moderate,3.62,99,1,37.35,Moderate,44.27,*,*,*,-,NA,NA
127,Pacific sandfish,Pacific sandfish (Trichodon trichodon),Trichodon trichodon,Trichodon,1,0,,,*,1,0,,3.95,30.5,0,20.5,Low,NA,*,*,*,-,NA,NA
129,Prowfish,Prowfish (Zaprora silenus),Zaprora silenus,Zaprora,1,1,1,,*,-,0,,3.71,88,1,53.88,Moderate to high,NA,0,*,*,-,NA,NA
1,Northern spearnose poacher,Northern spearnose poacher (Agonopsis vulsa),Agonopsis vulsa,Agonopsis,0,0,,,NA,NA,0,,3.27,20,NA,10,Low,NA,NA,NA,NA,NA,Yes,NA
2,Stone cockscomb,Stone cockscomb (Alectrias alectrolophus),Alectrias alectrolophus,Alectrias,0,0,,,NA,NA,0,,3.13,10,NA,10,Low,NA,NA,NA,NA,NA,Yes,NA
7,Stout eelblenny,Stout eelblenny (Anisarchus medius),Anisarchus medius,Anisarchus,0,0,,,NA,NA,0,,3.22,30,NA,20,Low,NA,NA,NA,NA,NA,Yes,NA
